"result_creator","result_id","task_id","num_annot","inside","resized","outer","inner","wap","wtr"
"essatetig",0,275,2,True,True,33.39512807413155,8.208246286296644,75.42082704975492,0.2521130653390286
"mabtimoxike",1,275,1,False,True,"","","",""
"mabtimoxike",2,275,0,True,True,"","","",""
"bopevtunagaet",3,275,2,True,True,35.9522831676809,13.707523826269389,61.873008836913904,0.19126471224086608
"avteknene",4,275,2,True,True,53.31557789099845,14.891708510319987,72.06874782307436,0.23574987144314558
"aturrooqel",5,275,2,True,True,46.709560579271226,13.887558074260943,70.26827505539848,0.22736597358087562
"cedasfechece",6,275,2,True,True,39.016564708909996,16.530820320006427,57.63127675812172,0.17454369247978052
"tehsidetegenichurgew",7,275,1,False,True,"","","",""
"esrood",8,275,2,True,True,39.692681840836805,13.156753158080006,66.85345371512787,0.2121348133028582
"heacsuzterilsotnaho",9,275,2,True,True,5.880398986496838,2.1144567731702564,64.0422907012656,0.20017626303637
"itseidlaelextu",10,275,1,False,False,"","","",""
"enilavqo",11,275,2,False,False,49.364732320827635,23.75829444277282,51.87192692879471,0.15312800245910124
"tehsidetegenichurgew",12,275,1,False,True,"","","",""
"ranotrete",13,275,2,True,True,6.935988512323951,1.3024394181556012,81.2220072763758,0.2833320932646912
"itseidlaelextu",14,275,1,False,False,"","","",""
"seridzaja",15,275,3,False,False,"","","",""
"sozeched",16,275,2,True,True,35.35665639653318,20.63676813069997,41.63258001759617,0.11800713363204081
"itseidlaelextu",17,275,1,False,False,"","","",""
"itseidlaelextu",18,275,1,False,False,"","","",""
"asbicapadnitiin",19,275,2,True,True,45.87382573491497,10.424402116612816,77.27592597824534,0.26165112743210506
"essatetig",20,778,2,True,True,14.483871715328606,2.843626453090466,80.36694532387364,0.27845398516263964
"mabtimoxike",21,778,1,False,False,"","","",""
"mabtimoxike",22,778,0,True,True,"","","",""
"bopevtunagaet",23,778,2,True,False,23.7582944427728,3.246333078377268,86.33600115447348,0.31517576697354777
"avteknene",24,778,2,True,True,24.616672920916365,5.400520695668037,78.06153287644608,0.26580741299331273
"aturrooqel",25,778,2,True,True,19.33418881574627,4.017801523656917,79.21918751313365,0.27207011776169876
"cedasfechece",26,778,2,True,True,14.654141138999613,4.585376382737103,68.70934748585252,0.22030975833009708
"tehsidetegenichurgew",27,778,1,False,True,"","","",""
"esrood",28,778,2,True,True,15.05546290861553,5.14258337410566,65.84240946080241,0.20777752251410575
"heacsuzterilsotnaho",29,778,2,True,True,9.814417815393517,3.3374826506964284,65.99408428015239,0.20842704292129727
"itseidlaelextu",30,778,1,False,False,"","","",""
"enilavqo",31,778,2,True,False,23.75829444277282,7.951351814720652,66.53231218312717,0.21074367847498643
"tehsidetegenichurgew",32,778,1,False,True,"","","",""
"ranotrete",33,778,2,True,True,17.15548682033417,4.109646443535088,76.04471102117616,0.255279297060793
"itseidlaelextu",34,778,1,False,False,"","","",""
"seridzaja",35,778,2,False,False,23.75829444277282,23.75829444277282,0.0,0.0
"sozeched",36,778,2,True,True,13.203143751578871,6.617280736442331,49.88102181610333,0.14602620794790233
"itseidlaelextu",37,778,1,False,False,"","","",""
"itseidlaelextu",38,778,1,False,False,"","","",""
"asbicapadnitiin",39,778,2,True,True,21.07850007142474,3.888868662874584,81.55054368338777,0.2852358484487447
"essatetig",40,1420,2,True,True,14.261878992965329,3.468481079857903,75.6800553309369,0.25342372037712596
"mabtimoxike",41,1420,1,False,False,"","","",""
"ranotrete",42,1420,2,True,True,18.25029902659745,6.023267021263041,66.99633790939585,0.21275593091151496
"bopevtunagaet",43,1420,6,True,True,"","","",""
"avteknene",44,1420,2,True,True,18.969606044988144,4.3573675816245565,77.02974130674795,0.2603635112652287
"aturrooqel",45,1420,2,True,True,16.75923105754692,5.961645042266324,64.42769347951851,0.20178738071435717
"cedasfechece",46,1420,2,True,True,13.6195841944691,8.191056972796677,39.85824489323942,0.11224442264887867
"tehsidetegenichurgew",47,1420,1,False,True,"","","",""
"esrood",48,1420,2,True,True,15.121207600877522,4.836065973144402,68.01799101770317,0.2172368085203767
"heacsuzterilsotnaho",49,1420,3,False,False,"","","",""
"itseidlaelextu",50,1420,1,False,False,"","","",""
"enilavqo",51,1420,4,True,False,"","","",""
"tehsidetegenichurgew",52,1420,1,False,True,"","","",""
"ranotrete",53,1420,4,True,True,"","","",""
"itseidlaelextu",54,1420,1,False,False,"","","",""
"seridzaja",55,1420,4,False,False,"","","",""
"sozeched",56,1420,6,True,False,"","","",""
"itseidlaelextu",57,1420,1,False,False,"","","",""
"itseidlaelextu",58,1420,1,False,False,"","","",""
"asbicapadnitiin",59,1420,2,True,True,18.070939245303435,4.6513492185162,74.26061171820348,0.2463299964432308
"essatetig",60,13,2,True,True,8.6220883482905,1.4480576902188398,83.20525571387881,0.2950930437605815
"mabtimoxike",61,13,1,False,False,"","","",""
"mabtimoxike",62,13,0,True,True,"","","",""
"bopevtunagaet",63,13,1,False,False,"","","",""
"avteknene",64,13,1,False,False,"","","",""
"aturrooqel",65,13,1,False,False,"","","",""
"aturrooqel",66,13,0,True,True,"","","",""
"tehsidetegenichurgew",67,13,1,False,False,"","","",""
"tehsidetegenichurgew",68,13,0,True,True,"","","",""
"heacsuzterilsotnaho",69,13,1,False,False,"","","",""
"itseidlaelextu",70,13,1,False,False,"","","",""
"enilavqo",71,13,1,False,False,"","","",""
"tehsidetegenichurgew",72,13,1,False,False,"","","",""
"ranotrete",73,13,4,True,True,"","","",""
"itseidlaelextu",74,13,1,False,False,"","","",""
"seridzaja",75,13,6,False,False,"","","",""
"sozeched",76,13,2,True,True,8.464436982765603,3.6933760880727444,56.36595681918587,0.1697196524889267
"itseidlaelextu",77,13,1,False,False,"","","",""
"itseidlaelextu",78,13,1,False,False,"","","",""
"asbicapadnitiin",79,13,2,True,True,12.034693399388068,2.4145252220680673,79.93696106798333,0.2760410811554011
"essatetig",80,2246,2,True,True,31.050380182072388,11.026134912646278,64.48953330686605,0.2020467037724958
"mabtimoxike",81,2246,1,False,False,"","","",""
"ranotrete",82,2246,4,True,True,"","","",""
"bopevtunagaet",83,2246,4,False,True,"","","",""
"avteknene",84,2246,2,True,True,30.879557246328098,12.64768225835692,59.0418924809524,0.18000739258911153
"aturrooqel",85,2246,2,True,True,37.17618678193447,13.68311429657834,63.19387360290658,0.196659735622299
