"result_creator","result_id","task_id","num_annot","inside","resized","outer","inner"
"essatetig",0,275,2,True,True,33.39512807413155,8.208246286296644
"mabtimoxike",1,275,1,False,True,"",""
"mabtimoxike",2,275,0,True,True,"",""
"bopevtunagaet",3,275,2,True,True,35.9522831676809,13.707523826269389
"avteknene",4,275,2,True,True,53.31557789099845,14.891708510319987
"aturrooqel",5,275,2,True,True,46.709560579271226,13.887558074260943
"cedasfechece",6,275,2,True,True,39.016564708909996,16.530820320006427
"tehsidetegenichurgew",7,275,1,False,True,"",""
"esrood",8,275,2,True,True,39.692681840836805,13.156753158080006
"heacsuzterilsotnaho",9,275,2,True,True,5.880398986496838,2.1144567731702564
"itseidlaelextu",10,275,1,False,False,"",""
"enilavqo",11,275,2,False,False,49.364732320827635,23.75829444277282
"tehsidetegenichurgew",12,275,1,False,True,"",""
"ranotrete",13,275,2,True,True,6.935988512323951,1.3024394181556012
"itseidlaelextu",14,275,1,False,False,"",""
"seridzaja",15,275,3,False,False,"",""
"sozeched",16,275,2,True,True,35.35665639653318,20.63676813069997
"itseidlaelextu",17,275,1,False,False,"",""
"itseidlaelextu",18,275,1,False,False,"",""
"asbicapadnitiin",19,275,2,True,True,45.87382573491497,10.424402116612816
"essatetig",20,778,2,True,True,14.483871715328606,2.843626453090466
"mabtimoxike",21,778,1,False,False,"",""
"mabtimoxike",22,778,0,True,True,"",""
"bopevtunagaet",23,778,2,True,False,23.7582944427728,3.246333078377268
"avteknene",24,778,2,True,True,24.616672920916365,5.400520695668037
"aturrooqel",25,778,2,True,True,19.33418881574627,4.017801523656917
"cedasfechece",26,778,2,True,True,14.654141138999613,4.585376382737103
"tehsidetegenichurgew",27,778,1,False,True,"",""
"esrood",28,778,2,True,True,15.05546290861553,5.14258337410566
"heacsuzterilsotnaho",29,778,2,True,True,9.814417815393517,3.3374826506964284
"itseidlaelextu",30,778,1,False,False,"",""
"enilavqo",31,778,2,True,False,23.75829444277282,7.951351814720652
"tehsidetegenichurgew",32,778,1,False,True,"",""
"ranotrete",33,778,2,True,True,17.15548682033417,4.109646443535088
"itseidlaelextu",34,778,1,False,False,"",""
"seridzaja",35,778,2,False,False,23.75829444277282,23.75829444277282
"sozeched",36,778,2,True,True,13.203143751578871,6.617280736442331
"itseidlaelextu",37,778,1,False,False,"",""
"itseidlaelextu",38,778,1,False,False,"",""
"asbicapadnitiin",39,778,2,True,True,21.07850007142474,3.888868662874584
"essatetig",40,1354,2,True,True,15.916269381445302,4.890484560566533
"mabtimoxike",41,1354,1,False,False,"",""
"mabtimoxike",42,1354,0,True,True,"",""
"bopevtunagaet",43,1354,4,False,True,"",""
"avteknene",44,1354,1,False,False,"",""
"aturrooqel",45,1354,1,False,False,"",""
"cedasfechece",46,1354,2,True,True,18.20036708709225,9.08767136545603
"tehsidetegenichurgew",47,1354,1,False,False,"",""
"esrood",48,1354,1,False,False,"",""
"heacsuzterilsotnaho",49,1354,1,False,False,"",""
"itseidlaelextu",50,1354,1,False,False,"",""
"enilavqo",51,1354,1,False,False,"",""
"tehsidetegenichurgew",52,1354,1,False,False,"",""
"ranotrete",53,1354,2,True,True,22.95386765153429,10.323850658761634
"itseidlaelextu",54,1354,1,False,False,"",""
"seridzaja",55,1354,2,False,False,23.75829444277282,23.75829444277282
"sozeched",56,1354,2,True,False,59.64013787259545,23.75829444277282
"itseidlaelextu",57,1354,1,False,False,"",""
"itseidlaelextu",58,1354,1,False,False,"",""
"asbicapadnitiin",59,1354,2,True,True,18.77921362809575,6.098826811770169
"essatetig",60,426,2,True,True,22.069270569687323,5.987818474152099
"mabtimoxike",61,426,1,False,False,"",""
"ranotrete",62,426,2,True,True,17.24461353507478,6.5145639125665324
"bopevtunagaet",63,426,6,True,True,"",""
"avteknene",64,426,1,False,False,"",""
"aturrooqel",65,426,2,True,True,27.18490586697458,11.622554967919596
"cedasfechece",66,426,2,True,True,8.495887860564343,3.7477264854847756
"tehsidetegenichurgew",67,426,1,False,True,"",""
"esrood",68,426,2,True,True,27.280605985815175,8.603493577689116
"heacsuzterilsotnaho",69,426,2,True,True,5.871925726583598,3.179589898459507
"itseidlaelextu",70,426,1,False,False,"",""
"enilavqo",71,426,2,True,False,23.75829444277281,8.544344411877084
"tehsidetegenichurgew",72,426,1,False,True,"",""
"ranotrete",73,426,6,True,True,"",""
"itseidlaelextu",74,426,1,False,False,"",""
"seridzaja",75,426,4,False,False,"",""
"sozeched",76,426,2,True,True,25.44517045727908,15.415046743494544
"itseidlaelextu",77,426,1,False,False,"",""
"itseidlaelextu",78,426,1,False,False,"",""
"asbicapadnitiin",79,426,1,False,False,"",""
"essatetig",80,1420,2,True,True,14.261878992965329,3.468481079857903
"mabtimoxike",81,1420,1,False,False,"",""
"ranotrete",82,1420,2,True,True,18.25029902659745,6.023267021263041
"bopevtunagaet",83,1420,6,True,True,"",""
"avteknene",84,1420,2,True,True,18.969606044988144,4.3573675816245565
"aturrooqel",85,1420,2,True,True,16.75923105754692,5.961645042266324
"cedasfechece",86,1420,2,True,True,13.6195841944691,8.191056972796677
"tehsidetegenichurgew",87,1420,1,False,True,"",""
"esrood",88,1420,2,True,True,15.121207600877522,4.836065973144402
"heacsuzterilsotnaho",89,1420,3,False,False,"",""
"itseidlaelextu",90,1420,1,False,False,"",""
"enilavqo",91,1420,4,True,False,"",""
"tehsidetegenichurgew",92,1420,1,False,True,"",""
"ranotrete",93,1420,4,True,True,"",""
"itseidlaelextu",94,1420,1,False,False,"",""
"seridzaja",95,1420,4,False,False,"",""
"sozeched",96,1420,6,True,False,"",""
"itseidlaelextu",97,1420,1,False,False,"",""
"itseidlaelextu",98,1420,1,False,False,"",""
"asbicapadnitiin",99,1420,2,True,True,18.070939245303435,4.6513492185162
"essatetig",100,13,2,True,True,8.6220883482905,1.4480576902188398
"mabtimoxike",101,13,1,False,False,"",""
"mabtimoxike",102,13,0,True,True,"",""
"bopevtunagaet",103,13,1,False,False,"",""
"avteknene",104,13,1,False,False,"",""
"aturrooqel",105,13,1,False,False,"",""
"aturrooqel",106,13,0,True,True,"",""
"tehsidetegenichurgew",107,13,1,False,False,"",""
"tehsidetegenichurgew",108,13,0,True,True,"",""
"heacsuzterilsotnaho",109,13,1,False,False,"",""
"itseidlaelextu",110,13,1,False,False,"",""
"enilavqo",111,13,1,False,False,"",""
"tehsidetegenichurgew",112,13,1,False,False,"",""
"ranotrete",113,13,4,True,True,"",""
"itseidlaelextu",114,13,1,False,False,"",""
"seridzaja",115,13,6,False,False,"",""
"sozeched",116,13,2,True,True,8.464436982765603,3.6933760880727444
"itseidlaelextu",117,13,1,False,False,"",""
"itseidlaelextu",118,13,1,False,False,"",""
"asbicapadnitiin",119,13,2,True,True,12.034693399388068,2.4145252220680673
"essatetig",120,254,2,True,True,9.495951283905809,3.089214241714604
"mabtimoxike",121,254,1,False,False,"",""
"mabtimoxike",122,254,0,True,True,"",""
"bopevtunagaet",123,254,2,True,True,14.202014271781417,5.78129562308479
"avteknene",124,254,1,False,False,"",""
"aturrooqel",125,254,1,False,False,"",""
"cedasfechece",126,254,1,False,False,"",""
"tehsidetegenichurgew",127,254,1,False,False,"",""
"tehsidetegenichurgew",128,254,0,True,True,"",""
