"airway_id","subject_id","task_class","task_id"
76,4,"good",275
104,8,"good",778
116,18,"good",1420
28,1,"good",13
23,41,"good",2246
82,4,"good",281
119,11,"good",1022
165,13,"good",1255
77,25,"good",1939
76,1,"good",56
107,25,"good",1964
120,18,"good",1424
159,4,"good",345
123,4,"good",318
26,1,"good",11
247,19,"good",1622
174,4,"good",358
56,25,"good",1920
26,26,"good",2000
162,13,"good",1252
154,7,"good",661
87,11,"good",995
66,2,"good",120
72,13,"good",1179
87,41,"good",2306
177,18,"good",1473
68,4,"good",268
144,19,"good",1551
103,18,"good",1409
41,12,"good",1078
65,19,"good",1504
59,21,"good",1789
24,4,"good",235
108,5,"good",460
140,18,"good",1442
18,26,"good",1996
41,13,"good",1151
65,27,"good",2061
134,7,"good",642
162,18,"good",1461
38,26,"good",2008
152,28,"good",2199
107,12,"good",1129
135,7,"good",643
61,8,"good",746
38,17,"good",1328
95,10,"good",864
40,25,"good",1904
128,11,"good",1031
77,5,"good",436
30,26,"good",2003
188,28,"good",2225
81,2,"good",134
55,27,"good",2054
105,19,"good",1530
110,7,"good",618
168,7,"good",673
97,41,"good",2314
47,26,"good",2016
26,18,"good",1341
50,27,"good",2050
57,13,"good",1165
40,16,"good",1293
96,1,"good",69
25,8,"good",718
249,19,"good",1624
177,19,"good",1577
148,18,"good",1448
460,19,"good",1737
41,5,"good",415
197,19,"good",1595
109,25,"good",1966
169,41,"good",2363
38,19,"good",1486
110,2,"good",153
126,13,"good",1221
67,2,"good",121
105,28,"good",2161
35,7,"good",552
55,23,"good",1855
31,23,"good",1838
48,26,"good",2017
86,5,"good",443
168,13,"good",1256
81,4,"good",280
137,7,"good",645
86,13,"good",1191
36,41,"good",2257
71,12,"good",1101
22,5,"good",400
76,7,"good",589
54,23,"good",1854
104,12,"good",1126
151,19,"good",1558
145,28,"good",2193
29,16,"good",1282
65,4,"good",266
138,28,"good",2188
29,23,"good",1836
406,19,"good",1709
30,8,"good",721
50,16,"good",1301
126,18,"good",1428
23,21,"good",1763
69,41,"good",2289
30,25,"good",1898
75,4,"good",274
37,24,"good",1877
72,7,"good",585
63,13,"good",1170
27,8,"good",720
121,18,"good",1425
85,8,"good",767
171,19,"good",1571
172,4,"good",356
64,4,"good",265
34,21,"good",1772
71,13,"good",1178
48,25,"good",1912
102,4,"good",299
90,2,"good",141
41,6,"good",493
174,7,"good",679
35,3,"good",183
40,21,"good",1777
17,27,"good",2023
116,8,"good",787
86,8,"good",768
18,11,"good",935
67,6,"good",516
47,2,"good",101
152,13,"good",1245
39,19,"good",1487
108,28,"good",2164
189,4,"good",369
72,21,"good",1798
369,19,"good",1686
21,19,"good",1478
40,19,"good",1488
77,11,"good",988
58,21,"good",1788
63,1,"good",44
25,19,"good",1479
124,7,"good",632
102,10,"good",871
154,18,"good",1453
90,8,"good",770
64,7,"good",578
77,18,"good",1385
94,7,"good",604
18,6,"good",476
166,4,"good",351
65,10,"good",837
78,2,"good",131
31,19,"good",1480
78,5,"good",437
78,13,"good",1184
86,10,"good",855
156,4,"good",342
52,3,"good",197
148,13,"good",1241
91,12,"good",1115
106,4,"good",303
99,10,"good",868
20,19,"good",1477
133,10,"good",897
109,5,"good",461
27,1,"good",12
21,7,"good",542
124,2,"good",163
66,8,"good",749
145,7,"good",652
87,4,"good",286
32,12,"good",1069
123,11,"good",1026
47,7,"good",561
321,19,"good",1660
95,13,"good",1199
13,1,"good",2
23,8,"good",717
46,8,"good",733
177,41,"good",2368
77,2,"good",130
83,4,"good",282
118,28,"good",2174
76,28,"good",2136
6,28,"good",2085
27,26,"good",2001
307,19,"good",1654
85,13,"good",1190
46,7,"good",560
65,7,"good",579
162,28,"good",2204
183,19,"good",1583
112,41,"good",2324
191,41,"good",2375
250,19,"good",1625
161,18,"good",1460
17,1,"good",4
158,41,"good",2359
62,27,"good",2059
63,4,"good",264
63,2,"good",117
37,17,"good",1327
141,41,"good",2348
69,13,"good",1176
120,11,"good",1023
161,11,"good",1051
101,7,"good",611
18,5,"good",396
54,28,"good",2119
121,41,"good",2331
36,10,"good",811
166,41,"good",2361
463,19,"good",1738
18,17,"good",1314
373,19,"good",1690
69,18,"good",1377
27,2,"good",87
114,5,"good",466
52,2,"good",106
31,25,"good",1899
40,12,"good",1077
73,18,"good",1381
16,23,"good",1823
29,41,"good",2251
43,4,"good",250
26,16,"good",1280
192,28,"good",2228
22,3,"good",174
149,11,"good",1045
141,10,"good",904
395,19,"good",1701
229,4,"good",393
49,27,"good",2049
152,18,"good",1451
24,11,"good",940
126,7,"good",634
124,13,"good",1219
37,41,"good",2258
154,10,"good",916
162,11,"good",1052
146,28,"good",2194
41,7,"good",557
147,11,"good",1043
129,18,"good",1431
137,28,"good",2187
111,11,"good",1015
19,27,"good",2024
25,21,"good",1765
14,7,"good",535
171,4,"good",355
51,21,"good",1785
82,2,"good",135
38,12,"good",1075
189,19,"good",1589
167,18,"good",1466
